survived,pclass,age,sibsp,parch,fare,class,who,adult_male,deck,embark_town,alive,alone,sex_male,embarked_Q,embarked_S
0,3,22.0,1,0,7.25,Third,man,True,,Southampton,no,False,True,False,True
1,3,26.0,0,0,7.925,Third,woman,False,,Southampton,yes,True,False,False,True
1,1,35.0,1,0,53.1,First,woman,False,C,Southampton,yes,False,False,False,True
0,3,35.0,0,0,8.05,Third,man,True,,Southampton,no,True,True,False,True
0,3,28.0,0,0,8.4583,Third,man,True,,Queenstown,no,True,True,True,False
0,1,54.0,0,0,51.8625,First,man,True,E,Southampton,no,True,True,False,True
0,3,2.0,3,1,21.075,Third,child,False,,Southampton,no,False,True,False,True
1,3,27.0,0,2,11.1333,Third,woman,False,,Southampton,yes,False,False,False,True
1,2,14.0,1,0,30.0708,Second,child,False,,Cherbourg,yes,False,False,False,False
1,3,4.0,1,1,16.7,Third,child,False,G,Southampton,yes,False,False,False,True
1,1,58.0,0,0,26.55,First,woman,False,C,Southampton,yes,True,False,False,True
0,3,20.0,0,0,8.05,Third,man,True,,Southampton,no,True,True,False,True
0,3,39.0,1,5,31.275,Third,man,True,,Southampton,no,False,True,False,True
0,3,14.0,0,0,7.8542,Third,child,False,,Southampton,no,True,False,False,True
1,2,55.0,0,0,16.0,Second,woman,False,,Southampton,yes,True,False,False,True
0,3,2.0,4,1,29.125,Third,child,False,,Queenstown,no,False,True,True,False
1,2,28.0,0,0,13.0,Second,man,True,,Southampton,yes,True,True,False,True
0,3,31.0,1,0,18.0,Third,woman,False,,Southampton,no,False,False,False,True
1,3,28.0,0,0,7.225,Third,woman,False,,Cherbourg,yes,True,False,False,False
0,2,35.0,0,0,26.0,Second,man,True,,Southampton,no,True,True,False,True
1,2,34.0,0,0,13.0,Second,man,True,D,Southampton,yes,True,True,False,True
1,3,15.0,0,0,8.0292,Third,child,False,,Queenstown,yes,True,False,True,False
1,1,28.0,0,0,35.5,First,man,True,A,Southampton,yes,True,True,False,True
0,3,8.0,3,1,21.075,Third,child,False,,Southampton,no,False,False,False,True
1,3,38.0,1,5,31.3875,Third,woman,False,,Southampton,yes,False,False,False,True
0,3,28.0,0,0,7.225,Third,man,True,,Cherbourg,no,True,True,False,False
1,3,28.0,0,0,7.8792,Third,woman,False,,Queenstown,yes,True,False,True,False
0,3,28.0,0,0,7.8958,Third,man,True,,Southampton,no,True,True,False,True
0,1,40.0,0,0,27.7208,First,man,True,,Cherbourg,no,True,True,False,False
1,3,28.0,0,0,7.75,Third,woman,False,,Queenstown,yes,True,False,True,False
0,2,66.0,0,0,10.5,Second,man,True,,Southampton,no,True,True,False,True
0,1,42.0,1,0,52.0,First,man,True,,Southampton,no,False,True,False,True
1,3,28.0,0,0,7.2292,Third,man,True,,Cherbourg,yes,True,True,False,False
0,3,21.0,0,0,8.05,Third,man,True,,Southampton,no,True,True,False,True
0,3,18.0,2,0,18.0,Third,woman,False,,Southampton,no,False,False,False,True
1,3,14.0,1,0,11.2417,Third,child,False,,Cherbourg,yes,False,False,False,False
0,3,40.0,1,0,9.475,Third,woman,False,,Southampton,no,False,False,False,True
0,2,27.0,1,0,21.0,Second,woman,False,,Southampton,no,False,False,False,True
0,3,28.0,0,0,7.8958,Third,man,True,,Cherbourg,no,True,True,False,False
1,2,3.0,1,2,41.5792,Second,child,False,,Cherbourg,yes,False,False,False,False
1,3,19.0,0,0,7.8792,Third,woman,False,,Queenstown,yes,True,False,True,False
0,3,28.0,0,0,8.05,Third,man,True,,Southampton,no,True,True,False,True
0,3,28.0,1,0,15.5,Third,man,True,,Queenstown,no,False,True,True,False
1,3,28.0,0,0,7.75,Third,woman,False,,Queenstown,yes,True,False,True,False
0,3,28.0,2,0,21.6792,Third,man,True,,Cherbourg,no,False,True,False,False
0,3,18.0,1,0,17.8,Third,woman,False,,Southampton,no,False,False,False,True
0,3,7.0,4,1,39.6875,Third,child,False,,Southampton,no,False,True,False,True
0,3,21.0,0,0,7.8,Third,man,True,,Southampton,no,True,True,False,True
1,2,29.0,1,0,26.0,Second,woman,False,,Southampton,yes,False,False,False,True
0,1,65.0,0,1,61.9792,First,man,True,B,Cherbourg,no,False,True,False,False
1,1,28.0,0,0,35.5,First,man,True,C,Southampton,yes,True,True,False,True
1,2,21.0,0,0,10.5,Second,woman,False,,Southampton,yes,True,False,False,True
0,3,28.5,0,0,7.2292,Third,man,True,,Cherbourg,no,True,True,False,False
1,2,5.0,1,2,27.75,Second,child,False,,Southampton,yes,False,False,False,True
0,3,11.0,5,2,46.9,Third,child,False,,Southampton,no,False,True,False,True
0,3,22.0,0,0,7.2292,Third,man,True,,Cherbourg,no,True,True,False,False
0,3,4.0,3,2,27.9,Third,child,False,,Southampton,no,False,True,False,True
0,1,28.0,0,0,27.7208,First,man,True,,Cherbourg,no,True,True,False,False
1,3,28.0,1,1,15.2458,Third,man,True,,Cherbourg,yes,False,True,False,False
1,2,29.0,0,0,10.5,Second,woman,False,F,Southampton,yes,True,False,False,True
0,3,19.0,0,0,8.1583,Third,man,True,,Southampton,no,True,True,False,True
1,3,17.0,4,2,7.925,Third,woman,False,,Southampton,yes,False,False,False,True
0,3,26.0,2,0,8.6625,Third,man,True,,Southampton,no,False,True,False,True
0,2,32.0,0,0,10.5,Second,man,True,,Southampton,no,True,True,False,True
0,3,16.0,5,2,46.9,Third,woman,False,,Southampton,no,False,False,False,True
0,3,26.0,1,0,14.4542,Third,man,True,,Cherbourg,no,False,True,False,False
1,3,32.0,0,0,56.4958,Third,man,True,,Southampton,yes,True,True,False,True
0,3,25.0,0,0,7.65,Third,man,True,F,Southampton,no,True,True,False,True
0,3,28.0,0,0,7.8958,Third,man,True,,Southampton,no,True,True,False,True
0,3,28.0,0,0,8.05,Third,man,True,,Southampton,no,True,True,False,True
1,2,0.83,0,2,29.0,Second,child,False,,Southampton,yes,False,True,False,True
1,3,30.0,0,0,12.475,Third,woman,False,,Southampton,yes,True,False,False,True
0,3,22.0,0,0,9.0,Third,man,True,,Southampton,no,True,True,False,True
1,3,29.0,0,0,9.5,Third,man,True,,Southampton,yes,True,True,False,True
1,3,28.0,0,0,7.7875,Third,woman,False,,Queenstown,yes,True,False,True,False
0,1,28.0,0,0,47.1,First,man,True,,Southampton,no,True,True,False,True
1,2,17.0,0,0,10.5,Second,woman,False,,Southampton,yes,True,False,False,True
1,3,33.0,3,0,15.85,Third,woman,False,,Southampton,yes,False,False,False,True
0,3,16.0,1,3,34.375,Third,man,True,,Southampton,no,False,True,False,True
0,3,28.0,0,0,8.05,Third,man,True,,Southampton,no,True,True,False,True
0,3,24.0,0,0,8.05,Third,man,True,,Southampton,no,True,True,False,True
0,3,29.0,0,0,8.05,Third,man,True,,Southampton,no,True,True,False,True
0,3,20.0,0,0,7.8542,Third,man,True,,Southampton,no,True,True,False,True
0,1,46.0,1,0,61.175,First,man,True,E,Southampton,no,False,True,False,True
0,3,26.0,1,2,20.575,Third,man,True,,Southampton,no,False,True,False,True
0,3,59.0,0,0,7.25,Third,man,True,,Southampton,no,True,True,False,True
0,3,28.0,0,0,8.05,Third,man,True,,Southampton,no,True,True,False,True
0,1,71.0,0,0,34.6542,First,man,True,A,Cherbourg,no,True,True,False,False
1,1,23.0,0,1,63.3583,First,man,True,D,Cherbourg,yes,False,True,False,False
1,2,34.0,0,1,23.0,Second,woman,False,,Southampton,yes,False,False,False,True
0,2,34.0,1,0,26.0,Second,man,True,,Southampton,no,False,True,False,True
0,3,28.0,0,0,7.8958,Third,woman,False,,Southampton,no,True,False,False,True
0,3,28.0,0,0,7.8958,Third,man,True,,Southampton,no,True,True,False,True
0,3,33.0,0,0,8.6542,Third,man,True,,Southampton,no,True,True,False,True
0,3,37.0,2,0,7.925,Third,man,True,,Southampton,no,False,True,False,True
0,3,28.0,0,0,7.8958,Third,man,True,,Southampton,no,True,True,False,True
